iter	Passed	Remaining
805	4869	7214
806	4876	7208
807	4879	7199
808	4886	7193
809	4889	7183
810	4894	7175
811	4898	7166
812	4901	7156
813	4908	7152
814	4912	7143
815	4916	7133
816	4920	7125
817	4928	7121
818	4932	7113
819	4939	7107
820	4945	7102
821	4950	7094
822	4957	7089
823	4963	7083
824	4970	7079
825	4974	7070
826	4981	7065
827	4986	7057
828	4991	7050
829	4995	7042
830	5001	7036
831	5007	7030
832	5011	7020
833	5016	7013
834	5021	7005
835	5028	7000
836	5033	6994
837	5040	6989
838	5047	6984
839	5053	6978
840	5061	6974
841	5066	6967
842	5069	6958
843	5076	6953
844	5082	6947
845	5089	6942
846	5096	6937
847	5100	6928
848	5107	6923
849	5114	6919
850	5118	6911
851	5126	6907
852	5131	6900
853	5139	6896
854	5142	6887
855	5147	6879
856	5155	6875
857	5161	6869
858	5166	6862
859	5172	6856
860	5176	6847
861	5181	6840
862	5187	6834
863	5191	6825
864	5198	6820
865	5204	6815
866	5208	6806
867	5213	6799
868	5220	6793
869	5227	6789
870	5232	6782
871	5238	6777
872	5243	6769
873	5249	6763
874	5256	6757
875	5260	6749
876	5264	6741
877	5272	6737
878	5276	6729
879	5280	6720
880	5285	6713
881	5291	6707
882	5295	6698
883	5300	6691
884	5308	6687
885	5312	6679
886	5317	6672
887	5322	6664
888	5326	6656
889	5330	6648
890	5337	6643
891	5342	6635
892	5348	6629
893	5352	6621
894	5357	6614
895	5364	6609
896	5368	6601
897	5376	6598
898	5380	6589
899	5387	6584
900	5392	6577
901	5398	6571
902	5404	6566
903	5410	6559
904	5416	6553
905	5420	6545
906	5427	6539
907	5433	6534
908	5438	6527
909	5443	6520
910	5449	6514
911	5455	6508
912	5459	6499
913	5466	6495
914	5473	6490
915	5479	6484
916	5485	6478
917	5491	6472
918	5496	6464
919	5501	6458
920	5504	6449
921	5508	6440
922	5514	6434
923	5520	6429
924	5525	6421
925	5532	6416
926	5536	6408
927	5543	6403
928	5548	6396
929	5554	6391
930	5560	6384
931	5568	6380
932	5571	6371
933	5579	6367
934	5582	6359
935	5588	6352
936	5595	6347
937	5601	6342
938	5607	6336
939	5613	6329
940	5617	6321
941	5621	6313
942	5627	6307
943	5631	6300
944	5638	6294
945	5642	6286
946	5648	6280
947	5654	6275
948	5661	6269
949	5668	6265
950	5673	6258
951	5679	6252
952	5688	6249
953	5694	6243
954	5700	6238
955	5707	6232
956	5713	6227
957	5719	6220
958	5726	6215
959	5729	6206
960	5733	6198
961	5738	6192
962	5745	6187
963	5752	6182
964	5760	6178
965	5766	6172
966	5771	6165
967	5777	6159
968	5784	6154
969	5789	6148
970	5793	6139
971	5799	6133
972	5805	6127
973	5809	6119
974	5816	6114
975	5820	6106
976	5826	6101
977	5831	6093
978	5835	6085
979	5840	6079
980	5845	6072
981	5850	6064
982	5853	6056
983	5860	6051
984	5865	6044
985	5871	6038
986	5875	6029
987	5880	6023
988	5887	6018
989	5891	6010
990	5897	6004
991	5901	5996
992	5904	5987
993	5908	5979
994	5915	5974
995	5920	5968
996	5926	5961
997	5931	5955
998	5938	5950
999	5945	5945
1000	5951	5940
1001	5958	5934
1002	5964	5929
1003	5970	5923
1004	5975	5915
1005	5981	5910
1006	5988	5904
1007	5994	5899
1008	6000	5893
1009	6007	5888
1010	6013	5882
1011	6018	5875
1012	6023	5869
1013	6031	5865
1014	6036	5858
1015	6040	5850
1016	6047	5845
1017	6054	5840
1018	6061	5834
1019	6067	5829
1020	6073	5823
1021	6078	5816
1022	6085	5812
1023	6089	5803
1024	6093	5796
1025	6100	5790
1026	6106	5785
1027	6110	5777
1028	6115	5770
1029	6120	5763
1030	6125	5756
1031	6129	5748
1032	6132	5740
1033	6139	5736
1034	6144	5728
1035	6149	5722
1036	6156	5716
1037	6164	5712
1038	6169	5706
1039	6174	5699
1040	6179	5692
1041	6184	5686
1042	6190	5680
1043	6200	5677
1044	6204	5670
1045	6209	5663
1046	6216	5658
1047	6223	5653
1048	6230	5648
1049	6236	5642
1050	6243	5637
1051	6249	5631
1052	6257	5627
1053	6264	5623
1054	6270	5617
1055	6276	5610
1056	6283	5605
1057	6288	5599
1058	6292	5591
1059	6298	5585
1060	6305	5580
1061	6311	5574
1062	6315	5567
1063	6323	5562
1064	6329	5557
1065	6334	5549
1066	6342	5545
1067	6349	5540
1068	6354	5534
1069	6360	5528
1070	6366	5522
1071	6372	5516
1072	6378	5510
1073	6387	5507
1074	6391	5499
1075	6397	5493
1076	6403	5487
1077	6406	5479
1078	6411	5472
1079	6417	5466
1080	6424	5461
1081	6428	5453
1082	6432	5446
1083	6439	5441
1084	6446	5436
1085	6453	5431
1086	6461	5426
1087	6467	5421
1088	6472	5414
1089	6476	5406
1090	6482	5401
1091	6486	5393
1092	6492	5387
1093	6496	5380
1094	6503	5374
1095	6510	5369
1096	6516	5363
1097	6520	5356
1098	6527	5351
1099	6531	5343
1100	6539	5339
1101	6546	5334
1102	6550	5327
1103	6556	5321
1104	6563	5316
1105	6569	5310
1106	6575	5303
1107	6581	5298
1108	6586	5292
1109	6590	5284
1110	6594	5276
1111	6600	5270
1112	6605	5264
1113	6611	5258
1114	6618	5252
1115	6625	5247
1116	6631	5242
1117	6638	5236
1118	6645	5231
1119	6651	5226
1120	6656	5219
1121	6662	5213
1122	6668	5207
1123	6673	5200
1124	6676	5192
1125	6681	5186
1126	6687	5179
1127	6692	5173
1128	6698	5168
1129	6706	5163
1130	6712	5157
1131	6717	5150
1132	6724	5145
1133	6729	5139
1134	6735	5133
1135	6741	5127
1136	6748	5122
1137	6755	5116
1138	6760	5110
1139	6767	5104
1140	6771	5098
1141	6778	5093
1142	6785	5087
1143	6791	5081
1144	6797	5075
1145	6803	5069
1146	6809	5063
1147	6816	5058
1148	6822	5052
1149	6828	5046
1150	6834	5041
1151	6840	5035
1152	6845	5028
1153	6852	5023
1154	6856	5016
1155	6861	5009
1156	6867	5003
1157	6873	4997
1158	6878	4991
1159	6883	4984
1160	6889	4978
1161	6895	4973
1162	6902	4967
1163	6907	4960
1164	6912	4954
1165	6916	4947
1166	6920	4939
1167	6924	4932
1168	6929	4926
1169	6935	4920
1170	6941	4914
1171	6947	4908
1172	6956	4904
1173	6962	4898
1174	6966	4891
1175	6971	4884
1176	6975	4877
1177	6981	4871
1178	6987	4865
1179	6994	4860
1180	6999	4854
1181	7006	4848
1182	7012	4842
1183	7018	4836
1184	7024	4830
1185	7030	4825
1186	7034	4818
1187	7042	4813
1188	7047	4806
1189	7051	4799
1190	7057	4793
1191	7064	4788
1192	7070	4782
1193	7075	4776
1194	7080	4769
1195	7085	4763
1196	7092	4757
1197	7099	4752
1198	7103	4745
1199	7110	4740
1200	7117	4734
1201	7124	4729
1202	7128	4722
1203	7135	4717
1204	7141	4711
1205	7144	4703
1206	7149	4697
1207	7155	4691
1208	7162	4685
1209	7168	4679
1210	7175	4674
1211	7181	4669
1212	7187	4663
1213	7193	4657
1214	7197	4650
1215	7204	4645
1216	7210	4638
1217	7214	4632
1218	7220	4625
1219	7226	4620
1220	7232	4614
1221	7238	4608
1222	7244	4602
1223	7249	4595
1224	7253	4589
1225	7260	4583
1226	7265	4576
1227	7270	4570
1228	7276	4564
1229	7282	4558
1230	7287	4552
1231	7291	4545
1232	7295	4537
1233	7301	4532
1234	7306	4525
1235	7310	4518
1236	7316	4512
1237	7321	4506
1238	7325	4499
1239	7331	4493
1240	7337	4487
1241	7343	4481
1242	7347	4474
1243	7355	4470
1244	7359	4463
1245	7363	4456
1246	7370	4450
1247	7374	4443
1248	7381	4438
1249	7384	4430
1250	7392	4426
1251	7398	4420
1252	7404	4414
1253	7409	4408
1254	7413	4401
1255	7419	4395
1256	7425	4389
1257	7431	4383
1258	7440	4378
1259	7446	4373
1260	7452	4367
1261	7457	4361
1262	7463	4355
1263	7467	4348
1264	7474	4342
1265	7480	4337
1266	7486	4331
1267	7490	4323
1268	7495	4317
1269	7499	4310
1270	7506	4305
1271	7512	4299
1272	7517	4293
1273	7521	4286
1274	7528	4280
1275	7532	4274
1276	7538	4267
1277	7543	4261
1278	7549	4255
1279	7556	4250
1280	7563	4245
1281	7569	4239
1282	7576	4234
1283	7583	4228
1284	7586	4221
1285	7591	4214
1286	7598	4209
1287	7605	4204
1288	7611	4198
1289	7618	4192
1290	7623	4186
1291	7629	4180
